DTC,System,Description,Common Causes,Severity,Recommended Actions,Vehicle Models
P0420,Powertrain,Catalyst System Efficiency Below Threshold (Bank 1),Faulty catalytic converter; Oxygen sensor issues; Exhaust leaks,Medium,Inspect catalytic converter and oxygen sensors; Schedule service,Toyota Camry 2010-2015; Honda Accord 2008-2012
P0171,Powertrain,System Too Lean (Bank 1),Vacuum leaks; Faulty mass airflow sensor; Fuel pump issues,Medium,Check for vacuum leaks; Clean or replace MAF sensor,Ford F-150 2015-2020; Chevrolet Silverado 2014-2018
P0300,Powertrain,Random/Multiple Cylinder Misfire Detected,Faulty spark plugs; Ignition coils; Fuel injectors,High,Replace spark plugs; Inspect ignition system,Honda Civic 2012-2016; Hyundai Sonata 2011-2015
P0442,Powertrain,Evaporative Emission System Leak Detected (Small Leak),Loose gas cap; Damaged EVAP hose; Faulty purge valve,Low,Tighten or replace gas cap; Inspect EVAP system,Nissan Altima 2013-2018; Toyota Corolla 2009-2013
P0700,Powertrain,Transmission Control System Malfunction,Faulty transmission control module; Wiring issues,High,Visit a professional mechanic for transmission diagnostics,Ford Escape 2013-2019; Dodge Ram 2014-2020
P0135,Powertrain,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1),Faulty oxygen sensor; Wiring issues; Blown fuse,Medium,Replace oxygen sensor; Check wiring and fuses,Subaru Outback 2010-2015; Volkswagen Jetta 2011-2016
P0455,Powertrain,Evaporative Emission System Leak Detected (Large Leak),Loose or damaged gas cap; Cracked EVAP canister,Medium,Replace gas cap; Inspect EVAP canister and hoses,Jeep Grand Cherokee 2011-2018; Chrysler 300 2012-2017
P0128,Powertrain,Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature),Faulty thermostat; Low coolant; Sensor issues,Medium,Replace thermostat; Check coolant levels,Chevrolet Equinox 2010-2017; GMC Terrain 2011-2016
P0299,Powertrain,Turbo/Supercharger Underboost Condition,Faulty turbocharger; Boost leak; Wastegate issues,High,Inspect turbocharger and boost system; Professional diagnosis required,Ford Mustang 2015-2020; Volkswagen Golf GTI 2014-2019
P0401,Powertrain,Exhaust Gas Recirculation (EGR) Flow Insufficient,Faulty EGR valve; Clogged EGR passages; Vacuum leaks,Medium,Clean or replace EGR valve; Inspect passages,Honda Odyssey 2011-2017; Toyota Sienna 2010-2016
P0301,Powertrain,Cylinder 1 Misfire Detected,Faulty spark plug; Bad ignition coil; Fuel injector issues,High,Replace spark plug in cylinder 1; Inspect ignition coil,Ford Focus 2012-2018; Mazda 3 2014-2019
P0174,Powertrain,System Too Lean (Bank 2),Vacuum leaks; Faulty MAF sensor; Fuel delivery issues,Medium,Check for vacuum leaks; Clean MAF sensor,Chevrolet Tahoe 2015-2020; GMC Yukon 2014-2019
P0440,Powertrain,Evaporative Emission Control System Malfunction,Faulty purge valve; Loose gas cap; EVAP canister issues,Medium,Inspect EVAP system; Replace gas cap,Toyota RAV4 2013-2018; Honda CR-V 2012-2017
P0138,Powertrain,O2 Sensor Circuit High Voltage (Bank 1 Sensor 2),Faulty oxygen sensor; Wiring short; Exhaust leaks,Medium,Replace oxygen sensor; Check wiring,Subaru Forester 2014-2019; Nissan Rogue 2015-2020
P0325,Powertrain,Knock Sensor 1 Circuit Malfunction,Faulty knock sensor; Wiring issues; Engine mechanical problems,Medium,Replace knock sensor; Inspect wiring,Toyota Highlander 2011-2016; Lexus RX 2010-2015
P0340,Powertrain,Camshaft Position Sensor Circuit Malfunction,Faulty camshaft sensor; Wiring issues; Timing belt problems,High,Replace camshaft sensor; Check timing belt,Ford Explorer 2013-2019; Jeep Wrangler 2012-2018
P0456,Powertrain,Evaporative Emission System Leak Detected (Very Small Leak),Loose gas cap; Faulty EVAP valve; Hose leaks,Low,Tighten gas cap; Inspect EVAP system,Honda Pilot 2016-2020; Acura MDX 2014-2019
P0507,Powertrain,Idle Control System RPM Higher Than Expected,Faulty idle air control valve; Vacuum leaks; Throttle issues,Medium,Clean or replace IAC valve; Check for leaks,Chevrolet Malibu 2013-2018; Buick Encore 2015-2020
P0606,Powertrain,ECM/PCM Processor Malfunction,Faulty engine control module; Software issues; Wiring problems,High,Visit a professional for ECM diagnostics,Ford Fusion 2013-2018; Lincoln MKZ 2014-2019
P0730,Powertrain,Incorrect Gear Ratio,Faulty transmission solenoid; Low transmission fluid; Mechanical issues,High,Check transmission fluid; Professional diagnosis required,Dodge Charger 2015-2020; Chrysler Pacifica 2017-2020
P0101,Powertrain,Mass or Volume Air Flow Circuit Range/Performance,Faulty MAF sensor; Air intake leaks; Dirty air filter,Medium,Replace MAF sensor; Check air intake system,Toyota Tacoma 2016-2020; Nissan Frontier 2015-2019
P0113,Powertrain,Intake Air Temperature Sensor 1 Circuit High Input,Faulty IAT sensor; Wiring issues; Dirty sensor,Low,Replace IAT sensor; Clean connections,Hyundai Tucson 2016-2020; Kia Sportage 2015-2019
P0155,Powertrain,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 1),Faulty oxygen sensor; Wiring issues; Blown fuse,Medium,Replace oxygen sensor; Check wiring,Subaru Impreza 2012-2018; Mazda CX-5 2013-2019
P0302,Powertrain,Cylinder 2 Misfire Detected,Faulty spark plug; Bad ignition coil; Fuel injector issues,High,Replace spark plug in cylinder 2; Inspect ignition coil,Honda Accord 2013-2017; Toyota Prius 2010-2015
P0335,Powertrain,Crankshaft Position Sensor A Circuit Malfunction,Faulty crankshaft sensor; Wiring issues; Timing issues,High,Replace crankshaft sensor; Check wiring,Ford Ranger 2019-2023; Chevrolet Colorado 2015-2020
P0446,Powertrain,Evaporative Emission Control System Vent Control Circuit,Faulty vent valve; Wiring issues; Blocked vent,Medium,Replace vent valve; Check vent system,Nissan Sentra 2013-2019; Toyota Avalon 2011-2016
P0500,Chassis,Vehicle Speed Sensor Malfunction,Faulty speed sensor; Wiring issues; ABS module problems,Medium,Replace speed sensor; Inspect wiring,Jeep Cherokee 2014-2020; Dodge Journey 2012-2018
P0601,Powertrain,Internal Control Module Memory Check Sum Error,Faulty ECM; Software corruption; Wiring issues,High,Professional ECM diagnosis required,Ford Edge 2015-2020; Lincoln Nautilus 2019-2023
P0720,Powertrain,Output Speed Sensor Circuit Malfunction,Faulty output speed sensor; Wiring issues; Transmission problems,High,Replace speed sensor; Professional diagnosis required,Chrysler 200 2015-2017; Dodge Dart 2013-2016
P0741,Powertrain,Torque Converter Clutch Circuit Performance or Stuck Off,Faulty TCC solenoid; Low transmission fluid; Mechanical issues,High,Check transmission fluid; Professional diagnosis required,Toyota 4Runner 2010-2016; Lexus GX 2011-2018
P0750,Powertrain,Shift Solenoid A Malfunction,Faulty shift solenoid; Low transmission fluid; Wiring issues,High,Replace shift solenoid; Check transmission fluid,Ford Expedition 2015-2020; Lincoln Navigator 2018-2023
P1000,Powertrain,OBD Systems Readiness Test Not Complete,Incomplete drive cycle; Recent battery disconnect,Low,Drive vehicle to complete readiness test,Ford vehicles; Lincoln vehicles
P1125,Powertrain,Throttle Position Sensor Intermittent,Faulty TPS; Wiring issues; Throttle body problems,Medium,Replace TPS; Inspect throttle body,Chevrolet Cruze 2011-2016; Buick Verano 2012-2017
P1237,Powertrain,Fuel Pump Secondary Circuit Malfunction,Faulty fuel pump; Wiring issues; Relay problems,High,Replace fuel pump; Check wiring and relay,Honda CR-V 2017-2020; Acura RDX 2016-2019
P1345,Powertrain,Crankshaft/Camshaft Position Sensor Correlation,Faulty sensors; Timing chain issues; Wiring problems,High,Replace sensors; Check timing chain,Chevrolet Camaro 2016-2020; Cadillac ATS 2013-2018
